,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
127,GTLB,GitLab Inc.,53.36,0.89,1.70%,1.852M,2.705M,8.48B,N/A,
128,PCTY,Paylocity Holding Corporation,149.24,-5.92,-3.82%,799207.00,465454.00,8.407B,50.59,
129,APPF,"AppFolio, Inc.",230.11,3.33,1.47%,293884.00,315645.00,8.333B,108.54,
130,COHR,Coherent Corp.,54.34,-0.29,-0.53%,2.057M,2.313M,8.25B,N/A,
131,PSN,Parsons Corporation,77.63,-0.88,-1.12%,2.338M,1.018M,8.248B,54.67,
132,DBX,"Dropbox, Inc.",23.49,0.33,1.42%,3.379M,4.252M,7.949B,17.93,
133,MKSI,"MKS Instruments, Inc.",115.14,-3.84,-3.23%,614634.00,626631.00,7.721B,N/A,
134,GLOB,Globant S.A.,177.93,-0.66,-0.37%,400038.00,456081.00,7.676B,48.75,
135,AMKR,"Amkor Technology, Inc.",30.33,-2.02,-6.24%,2.154M,1.02M,7.466B,19.95,
136,OLED,Universal Display Corporation,152.66,-5.32,-3.37%,353081.00,287224.00,7.242B,36,
137,MTSI,"MACOM Technology Solutions Holdings, Inc.",99.12,-2.83,-2.78%,744155.00,538095.00,7.143B,95.31,
138,CGNX,Cognex Corporation,40.94,-0.6,-1.44%,1.521M,1.557M,7.034B,62.98,
139,ALTR,Altair Engineering Inc.,81.41,0.96,1.19%,420232.00,405896.00,6.759B,N/A,
140,CIEN,Ciena Corporation,46.63,0.4,0.87%,1.369M,2.115M,6.743B,30.28,
141,ARW,"Arrow Electronics, Inc.",124.85,-2.82,-2.21%,631435.00,525368.00,6.739B,7.88,
142,SAIC,Science Applications International Corporation,128.96,0.26,0.20%,261780.00,305990.00,6.661B,14.52,
143,S,"SentinelOne, Inc.",21.44,0.31,1.47%,3.01M,5.513M,6.647B,N/A,
144,UI,Ubiquiti Inc.,109.87,2.29,2.13%,114881.00,91255.00,6.643B,17.87,
145,SPSC,"SPS Commerce, Inc.",178.97,5.1,2.93%,233718.00,199308.00,6.628B,97.8,
146,WIX,Wix.com Ltd.,118.99,0.12,0.10%,532156.00,517852.00,6.621B,208.75,
147,BILL,"BILL Holdings, Inc.",62.80,0.44,0.71%,1.558M,2.313M,6.602B,N/A,
148,HCP,"HashiCorp, Inc.",32.62,0.16,0.49%,6.622M,4.159M,6.553B,N/A,
149,CCCS,CCC Intelligent Solutions Holdings Inc.,10.55,-0.67,-5.97%,6.926M,3.644M,6.484B,N/A,
150,EXLS,"ExlService Holdings, Inc.",29.07,0.07,0.24%,1.226M,1.063M,4.722B,26.43,
151,SQSP,"Squarespace, Inc.",34.20,-0.66,-1.89%,842818.00,741780.00,4.7B,N/A,
152,CLVT,Clarivate Plc,6.94,0.18,2.66%,4.345M,4.254M,4.637B,N/A,
153,KD,"Kyndryl Holdings, Inc.",19.99,0.33,1.68%,1.869M,1.597M,4.6B,N/A,
154,VERX,"Vertex, Inc.",29.21,0.08,0.27%,1.062M,717122.00,4.531B,N/A,
155,CRUS,"Cirrus Logic, Inc.",84.00,-4.57,-5.16%,526699.00,439147.00,4.531B,26.58,
156,CVLT,"Commvault Systems, Inc.",102.71,0.24,0.23%,426373.00,299614.00,4.484B,27.39,
157,ASGN,ASGN Incorporated,95.56,-0.89,-0.92%,273408.00,269795.00,4.444B,22.12,
158,CWAN,"Clearwater Analytics Holdings, Inc.",15.82,0.04,0.25%,2.028M,1.271M,4.404B,N/A,
159,WK,Workiva Inc.,80.30,1.5,1.90%,278201.00,377263.00,4.399B,N/A,
160,SATS,EchoStar Corporation,16.12,0.13,0.81%,1.607M,1.634M,4.377B,N/A,
161,AVT,"Avnet, Inc.",48.07,-0.8,-1.64%,1.11M,583213.00,4.344B,7.75,
162,FIVN,"Five9, Inc.",58.24,0.67,1.16%,869638.00,1.453M,4.301B,N/A,
163,PI,"Impinj, Inc.",154.66,-4.72,-2.96%,652762.00,456162.00,4.287B,N/A,
164,FROG,JFrog Ltd.,39.48,-0.4,-1.00%,711480.00,1.402M,4.277B,N/A,
165,ITRI,"Itron, Inc.",91.54,-0.58,-0.63%,634935.00,461893.00,4.196B,43.38,
166,BRZE,"Braze, Inc.",40.44,-1.46,-3.48%,947677.00,924198.00,4.078B,N/A,
167,DLO,DLocal Limited,14.02,-0.19,-1.34%,884085.00,1.102M,4.049B,28.61,
168,BLKB,"Blackbaud, Inc.",76.05,-1.87,-2.40%,374802.00,313332.00,3.926B,185.49,
169,PAGS,PagSeguro Digital Ltd.,12.32,-0.13,-1.04%,2.114M,3.199M,3.892B,12.32,
170,IPGP,IPG Photonics Corporation,83.55,-0.43,-0.51%,304723.00,277995.00,3.807B,21.48,
171,BOX,"Box, Inc.",26.41,0.39,1.50%,1.765M,2.507M,3.812B,39.42,
172,SLAB,Silicon Laboratories Inc.,118.80,-2.69,-2.21%,247119.00,335719.00,3.793B,N/A,
173,POWI,"Power Integrations, Inc.",65.75,-0.97,-1.45%,383230.00,416016.00,3.74B,67.78,
174,TDC,Teradata Corporation,37.37,0.27,0.73%,799895.00,1.212M,3.65B,61.26,
175,MQ,"Marqeta, Inc.",5.50,-0.05,-0.90%,5.089M,5.114M,2.849B,N/A,
176,INST,"Instructure Holdings, Inc.",19.45,0.32,1.67%,215120.00,286308.00,2.838B,N/A,
177,PLXS,Plexus Corp.,102.25,1.24,1.23%,173728.00,122291.00,2.823B,28.17,
178,SPT,"Sprout Social, Inc.",49.91,-0.54,-1.07%,744546.00,625637.00,2.822B,N/A,
179,CRDO,Credo Technology Group Holding Ltd,17.25,-0.62,-3.47%,1.397M,2.071M,2.817B,N/A,
180,RPD,"Rapid7, Inc.",44.88,0.08,0.18%,503124.00,711539.00,2.795B,N/A,
